algorithm,params_readable,mean_test_balanced_accuracy,std_test_balanced_accuracy,mean_test_recall_fail,mean_test_precision_fail,mean_test_f1_fail,mean_test_roc_auc,rank_test_balanced_accuracy
logistic_regression,"{""model__C"": 0.01, ""model__penalty"": ""l2"", ""select__k"": 80}",0.6418614881850175,0.06411764405279767,0.5897058823529411,0.12052672557420183,0.1999066694259314,0.7102375565610859,20
decision_tree,"{""model__max_depth"": 5, ""model__min_samples_leaf"": 40, ""select__k"": 40}",0.6410539215686275,0.08603005449670127,0.6154411764705883,0.11450757723808339,0.19239945238645637,0.6834370286576169,12
decision_tree,"{""model__max_depth"": 5, ""model__min_samples_leaf"": 10, ""select__k"": 40}",0.6385840874811464,0.07199651768182973,0.5669117647058823,0.12542554594748398,0.2043787684159291,0.6535366390145801,13
decision_tree,"{""model__max_depth"": 2, ""model__min_samples_leaf"": 40, ""select__k"": 10}",0.6382730015082957,0.05135653725128951,0.4970588235294118,0.1397981765150854,0.21585507948111476,0.6714696455505279,14
logistic_regression,"{""model__C"": 1.0, ""model__penalty"": ""l1"", ""select__k"": 20}",0.636767848164907,0.04045332382881753,0.5419117647058823,0.12514336184924418,0.2032619453280699,0.707513197586727,21
logistic_regression,"{""model__C"": 1.0, ""model__penalty"": ""l2"", ""select__k"": 20}",0.6351181498240321,0.05292980816222872,0.5411764705882354,0.12385254658452052,0.20146273569141085,0.7096342383107088,22
logistic_regression,"{""model__C"": 10.0, ""model__penalty"": ""l2"", ""select__k"": 20}",0.6350584464555052,0.048028390774921055,0.5419117647058823,0.12377630428126445,0.20133528912441562,0.7058949220713927,23
decision_tree,"{""model__max_depth"": 2, ""model__min_samples_leaf"": 10, ""select__k"": 10}",0.6350144544997487,0.05055537494937522,0.48455882352941176,0.14005114894109094,0.2151482521718778,0.6606790472599295,15
decision_tree,"{""model__max_depth"": 2, ""model__min_samples_leaf"": 20, ""select__k"": 10}",0.6350144544997487,0.05055537494937522,0.48455882352941176,0.14005114894109094,0.2151482521718778,0.6606790472599295,15
logistic_regression,"{""model__C"": 0.1, ""model__penalty"": ""l1"", ""select__k"": 80}",0.6341974610356964,0.053321397752017954,0.5051470588235294,0.1331180250158071,0.21023612789597443,0.723598541980895,24
decision_tree,"{""model__max_depth"": 5, ""model__min_samples_leaf"": 20, ""select__k"": 20}",0.6341911764705882,0.07211395653993591,0.5683823529411764,0.12001093588120179,0.19801850565568313,0.6653311965811965,17
decision_tree,"{""model__max_depth"": 5, ""model__min_samples_leaf"": 40, ""select__k"": 10}",0.6335564353946708,0.07925097224565124,0.5551470588235294,0.12994218528951954,0.2081795612828578,0.684703368526898,18
decision_tree,"{""model__max_depth"": 2, ""model__min_samples_leaf"": 40, ""select__k"": 20}",0.6334118903971846,0.050466346802624816,0.5095588235294117,0.13420910061797517,0.20884522186884746,0.6540739693313222,19
decision_tree,"{""model__max_depth"": 4, ""model__min_samples_leaf"": 10, ""select__k"": 80}",0.6324943438914027,0.03679471451939736,0.5419117647058823,0.12805047893693083,0.20484252589515747,0.6329311211664154,20
decision_tree,"{""model__max_depth"": 5, ""model__min_samples_leaf"": 10, ""select__k"": 20}",0.632107843137255,0.05684623859937101,0.5308823529411765,0.12782978723404254,0.204314356038494,0.6467288838612368,21
decision_tree,"{""model__max_depth"": 3, ""model__min_samples_leaf"": 20, ""select__k"": 80}",0.6320858471593767,0.045452534411698726,0.6522058823529412,0.11147178290553969,0.1884665175530403,0.6663728632478632,22
decision_tree,"{""model__max_depth"": 5, ""model__min_samples_leaf"": 10, ""select__k"": 10}",0.6312280040221216,0.036771056504614825,0.48382352941176465,0.13867262462472035,0.21242014261460485,0.641819067370538,23
decision_tree,"{""model__max_depth"": 4, ""model__min_samples_leaf"": 40, ""select__k"": 10}",0.6282019859225741,0.07518723291043318,0.5316176470588235,0.12705291755256318,0.20302212067200012,0.6871323529411765,24
decision_tree,"{""model__max_depth"": 4, ""model__min_samples_leaf"": 40, ""select__k"": 40}",0.6275201106083459,0.08309995902411849,0.5926470588235294,0.10948589882006939,0.1839717146492474,0.669350175967823,25
logistic_regression,"{""model__C"": 10.0, ""model__penalty"": ""l1"", ""select__k"": 20}",0.6266119909502262,0.04637941520012073,0.5301470588235294,0.11925188704399177,0.1945834861388425,0.7054769984917042,25
decision_tree,"{""model__max_depth"": 3, ""model__min_samples_leaf"": 10, ""select__k"": 80}",0.626263197586727,0.04832446614161662,0.6397058823529412,0.10972848788638263,0.18555663120407995,0.661235231271996,26
decision_tree,"{""model__max_depth"": 2, ""model__min_samples_leaf"": 10, ""select__k"": 20}",0.6251256913021619,0.05398928386524953,0.48529411764705876,0.13085521863444138,0.20260087797744478,0.6370223730517848,27
decision_tree,"{""model__max_depth"": 2, ""model__min_samples_leaf"": 20, ""select__k"": 20}",0.6251256913021619,0.05398928386524953,0.48529411764705876,0.13085521863444138,0.20260087797744478,0.6370223730517848,27
random_forest,"{""model__max_depth"": 3, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 20, ""select__k"": 80}",0.6248523127199597,0.03964110137121426,0.3360294117647059,0.21733333333333332,0.2636538414016359,0.7513731774761186,1
decision_tree,"{""model__max_depth"": 3, ""model__min_samples_leaf"": 40, ""select__k"": 40}",0.6235576923076923,0.04588545404131747,0.6625,0.10369632696646174,0.17845539693036483,0.6617945575666163,29
decision_tree,"{""model__max_depth"": 3, ""model__min_samples_leaf"": 40, ""select__k"": 80}",0.6224170437405732,0.041627046538347014,0.6397058823529411,0.10799831242201326,0.1822154890949458,0.6177978883861238,30
decision_tree,"{""model__max_depth"": 4, ""model__min_samples_leaf"": 10, ""select__k"": 10}",0.6222127953745601,0.050903733637178115,0.49485294117647055,0.12971060713442004,0.20342251073426837,0.6358345902463549,31
decision_tree,"{""model__max_depth"": 3, ""model__min_samples_leaf"": 10, ""select__k"": 40}",0.6220493966817495,0.03304909684630048,0.6389705882352941,0.10671669163245409,0.18084299416515642,0.6375848416289592,32
decision_tree,"{""model__max_depth"": 3, ""model__min_samples_leaf"": 40, ""select__k"": 20}",0.6213298139768727,0.06894746342832808,0.5794117647058823,0.11707857196377154,0.19181866037525844,0.6743526897938663,33
decision_tree,"{""model__max_depth"": 3, ""model__min_samples_leaf"": 20, ""select__k"": 40}",0.6203399949723478,0.044842260899235854,0.6389705882352941,0.10446827206231597,0.1776828375047338,0.642153720462544,34
decision_tree,"{""model__max_depth"": 2, ""model__min_samples_leaf"": 40, ""select__k"": 80}",0.6198749371543488,0.016848444365371456,0.5183823529411764,0.12793157232163802,0.1975724859935386,0.6405008798391152,35
decision_tree,"{""model__max_depth"": 2, ""model__min_samples_leaf"": 10, ""select__k"": 80}",0.619815233785822,0.021532746560707184,0.5191176470588236,0.1294301025096049,0.1977945015003649,0.6445732780291603,36
decision_tree,"{""model__max_depth"": 2, ""model__min_samples_leaf"": 20, ""select__k"": 80}",0.619815233785822,0.021532746560707184,0.5191176470588236,0.1294301025096049,0.1977945015003649,0.6445732780291603,36
decision_tree,"{""model__max_depth"": 5, ""model__min_samples_leaf"": 20, ""select__k"": 40}",0.6193470336852689,0.08242069155608264,0.5301470588235294,0.11702119213551987,0.19063486703250315,0.6737038084464555,38
random_forest,"{""model__max_depth"": 3, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 20, ""select__k"": 40}",0.6191365007541478,0.04213817354478101,0.34852941176470587,0.18487745098039216,0.24146750281981433,0.7260400955253896,2
decision_tree,"{""model__max_depth"": 3, ""model__min_samples_leaf"": 20, ""select__k"": 20}",0.6190328054298642,0.06432700642838737,0.5919117647058824,0.1120212700872828,0.18573896199762013,0.6633295625942685,39
random_forest,"{""model__max_depth"": 3, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 5, ""select__k"": 40}",0.6183823529411765,0.037683833715462856,0.33676470588235297,0.19425405065004617,0.2462870416185607,0.7221593765711413,3
decision_tree,"{""model__max_depth"": 5, ""model__min_samples_leaf"": 40, ""select__k"": 80}",0.6180901206636501,0.0478033064424196,0.5772058823529412,0.10929980823936285,0.18276966788594698,0.634906045751634,40
decision_tree,"{""model__max_depth"": 2, ""model__min_samples_leaf"": 10, ""select__k"": 40}",0.6168991955756662,0.03237359472559864,0.4602941176470588,0.13375695820809322,0.20162489544520446,0.6407412644544996,41
decision_tree,"{""model__max_depth"": 2, ""model__min_samples_leaf"": 20, ""select__k"": 40}",0.6168991955756662,0.03237359472559864,0.4602941176470588,0.13375695820809322,0.20162489544520446,0.6407412644544996,41
decision_tree,"{""model__max_depth"": 2, ""model__min_samples_leaf"": 40, ""select__k"": 40}",0.6162047511312216,0.026653844564167455,0.4477941176470589,0.13639553429027113,0.20318271387546902,0.6478192559074912,43
decision_tree,"{""model__max_depth"": 3, ""model__min_samples_leaf"": 10, ""select__k"": 20}",0.6152872046254398,0.06607769577835083,0.5801470588235295,0.1109490923603568,0.183451486260532,0.6523315736551031,44
logistic_regression,"{""model__C"": 0.1, ""model__penalty"": ""l1"", ""select__k"": 120}",0.612965057817999,0.033904968113712526,0.4455882352941177,0.12495847769894959,0.1950534399724035,0.6823560834590247,26
logistic_regression,"{""model__C"": 1.0, ""model__penalty"": ""l1"", ""select__k"": 120}",0.6124717194570135,0.04280381447762023,0.40955882352941175,0.13437562437562436,0.20181565533729035,0.6544746103569633,27
decision_tree,"{""model__max_depth"": 5, ""model__min_samples_leaf"": 10, ""select__k"": 80}",0.6121354952237306,0.033865535881209545,0.49264705882352944,0.11970985252225366,0.19010629892982833,0.6042012317747611,45
logistic_regression,"{""model__C"": 1.0, ""model__penalty"": ""l2"", ""select__k"": 120}",0.6119846656611363,0.04882098441529114,0.41029411764705886,0.13287107144881646,0.2003770361045903,0.6529191804927099,28
decision_tree,"{""model__max_depth"": 4, ""model__min_samples_leaf"": 10, ""select__k"": 40}",0.6117615635997989,0.09304171273626977,0.5551470588235294,0.115318502934602,0.18880456673188112,0.6352941176470587,46
random_forest,"{""model__max_depth"": 3, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 5, ""select__k"": 80}",0.6078525641025642,0.03135011635684386,0.2875,0.22026915113871634,0.2491672159964843,0.7482340372046254,4
logistic_regression,"{""model__C"": 10.0, ""model__penalty"": ""l2"", ""select__k"": 120}",0.6036984665661136,0.04894795211709614,0.3860294117647059,0.130977422485893,0.1953068172314258,0.6340969079939668,29
decision_tree,"{""model__max_depth"": 4, ""model__min_samples_leaf"": 40, ""select__k"": 80}",0.6001414027149321,0.04629267181823148,0.5772058823529412,0.10268704685668335,0.17271538205543718,0.6226951357466063,47
decision_tree,"{""model__max_depth"": 4, ""model__min_samples_leaf"": 20, ""select__k"": 40}",0.6001162644544997,0.09104193457169694,0.5301470588235294,0.11232244043219652,0.18227277013900678,0.6576090372046254,48
logistic_regression,"{""model__C"": 0.1, ""model__penalty"": ""l2"", ""select__k"": 120}",0.5940359477124183,0.05061746356930223,0.41029411764705886,0.11376617085845937,0.1778165532492876,0.6618432629462041,30
logistic_regression,"{""model__C"": 10.0, ""model__penalty"": ""l1"", ""select__k"": 120}",0.5928890145801909,0.050229679426959835,0.35073529411764703,0.12784384384384384,0.186732732828827,0.6252608094519858,31
logistic_regression,"{""model__C"": 0.01, ""model__penalty"": ""l2"", ""select__k"": 120}",0.5917043740573152,0.049422460329889034,0.47058823529411764,0.10276997491393429,0.16847812950994184,0.6614567621920564,32
random_forest,"{""model__max_depth"": 5, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 20, ""select__k"": 40}",0.5910602061337356,0.031358777738615506,0.25220588235294117,0.2066210982000456,0.22683736367946894,0.7218545751633987,5
random_forest,"{""model__max_depth"": 5, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 20, ""select__k"": 80}",0.5849516088486677,0.016119799246357147,0.21691176470588233,0.2507126696832579,0.23158708725678562,0.7532836852689794,6
random_forest,"{""model__max_depth"": null, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 20, ""select__k"": 80}",0.5841974610356964,0.01879927099506948,0.2051470588235294,0.29820512820512823,0.23439319301388267,0.7615635997988939,7
random_forest,"{""model__max_depth"": null, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 20, ""select__k"": 40}",0.5701954499748618,0.018315438579485754,0.19338235294117648,0.22353973168214653,0.19760568387166852,0.7243558320764203,8
random_forest,"{""model__max_depth"": 5, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 5, ""select__k"": 80}",0.5562877073906486,0.021075206398186587,0.13308823529411765,0.3195238095238095,0.18340096618357488,0.7588235294117647,9
random_forest,"{""model__max_depth"": 5, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 5, ""select__k"": 40}",0.5535633484162896,0.03098710985505595,0.14558823529411763,0.2076190476190476,0.16869731800766283,0.7217288838612369,10
gaussian_naive_bayes,"{""model__var_smoothing"": 1e-09, ""select__k"": 40}",0.5413304424333837,0.02187037145375138,0.13308823529411765,0.16252747252747252,0.14344137240688964,0.674725050276521,1
gaussian_naive_bayes,"{""model__var_smoothing"": 1e-07, ""select__k"": 40}",0.5413304424333837,0.02187037145375138,0.13308823529411765,0.16252747252747252,0.14344137240688964,0.674725050276521,1
gaussian_naive_bayes,"{""model__var_smoothing"": 1e-05, ""select__k"": 40}",0.5413304424333837,0.02187037145375138,0.13308823529411765,0.16252747252747252,0.14344137240688964,0.674725050276521,1
gaussian_naive_bayes,"{""model__var_smoothing"": 0.001, ""select__k"": 40}",0.5413304424333837,0.02187037145375138,0.13308823529411765,0.16252747252747252,0.14344137240688964,0.6747847536450479,1
knn,"{""model__n_neighbors"": 3, ""model__weights"": ""distance"", ""select__k"": 10}",0.5404694570135746,0.014521529065755757,0.09632352941176471,0.32380952380952377,0.1458422736683606,0.6072743841126195,1
knn,"{""model__n_neighbors"": 3, ""model__weights"": ""uniform"", ""select__k"": 10}",0.5350144544997486,0.023808553819072147,0.08455882352941177,0.27714285714285714,0.12828910220214568,0.6068407491201608,2
gaussian_naive_bayes,"{""model__var_smoothing"": 1e-09, ""select__k"": 80}",0.5341660382101558,0.032886351587112415,0.12132352941176472,0.13781160016454136,0.12715728715728716,0.6929267219708397,5
gaussian_naive_bayes,"{""model__var_smoothing"": 1e-07, ""select__k"": 80}",0.5341660382101558,0.032886351587112415,0.12132352941176472,0.13781160016454136,0.12715728715728716,0.6929267219708397,5
gaussian_naive_bayes,"{""model__var_smoothing"": 1e-05, ""select__k"": 80}",0.5341660382101558,0.032886351587112415,0.12132352941176472,0.13781160016454136,0.12715728715728716,0.6929267219708397,5
gaussian_naive_bayes,"{""model__var_smoothing"": 0.001, ""select__k"": 80}",0.5341660382101558,0.032886351587112415,0.12132352941176472,0.13781160016454136,0.12715728715728716,0.692819884364002,5
gaussian_naive_bayes,"{""model__var_smoothing"": 1e-09, ""select__k"": 20}",0.5337983911513323,0.0277017816538511,0.12058823529411763,0.15983329535961116,0.13070439539709489,0.6633735545500252,9
gaussian_naive_bayes,"{""model__var_smoothing"": 1e-07, ""select__k"": 20}",0.5337983911513323,0.0277017816538511,0.12058823529411763,0.15983329535961116,0.13070439539709489,0.6633735545500252,9
gaussian_naive_bayes,"{""model__var_smoothing"": 1e-05, ""select__k"": 20}",0.5337983911513323,0.0277017816538511,0.12058823529411763,0.15983329535961116,0.13070439539709489,0.6633735545500252,9
gaussian_naive_bayes,"{""model__var_smoothing"": 0.001, ""select__k"": 20}",0.5337983911513323,0.0277017816538511,0.12058823529411763,0.15983329535961116,0.13070439539709489,0.6636846405228758,9
knn,"{""model__n_neighbors"": 3, ""model__weights"": ""uniform"", ""select__k"": 40}",0.5287644544997486,0.010974069910212034,0.07205882352941176,0.29,0.11211229655165582,0.5565013826043238,3
knn,"{""model__n_neighbors"": 3, ""model__weights"": ""distance"", ""select__k"": 40}",0.5287644544997486,0.010974069910212034,0.07205882352941176,0.29,0.11211229655165582,0.5544934640522875,3
random_forest,"{""model__max_depth"": null, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 5, ""select__k"": 40}",0.5220682503770739,0.023231890969859934,0.04926470588235295,0.3,0.08421052631578947,0.7304612870789341,11
gaussian_naive_bayes,"{""model__var_smoothing"": 1e-09, ""select__k"": 10}",0.5200571895424837,0.018593886097073534,0.08455882352941177,0.11243589743589744,0.09339469831479924,0.6754917672197085,13
gaussian_naive_bayes,"{""model__var_smoothing"": 1e-07, ""select__k"": 10}",0.5200571895424837,0.018593886097073534,0.08455882352941177,0.11243589743589744,0.09339469831479924,0.6754917672197085,13
gaussian_naive_bayes,"{""model__var_smoothing"": 1e-05, ""select__k"": 10}",0.5200571895424837,0.018593886097073534,0.08455882352941177,0.11243589743589744,0.09339469831479924,0.6754917672197085,13
gaussian_naive_bayes,"{""model__var_smoothing"": 0.001, ""select__k"": 10}",0.5200571895424837,0.018593886097073534,0.08455882352941177,0.11243589743589744,0.09339469831479924,0.6754917672197085,13
knn,"{""model__n_neighbors"": 7, ""model__weights"": ""distance"", ""select__k"": 10}",0.5187091503267973,0.021435889260330545,0.04852941176470588,0.18,0.07619047619047618,0.6563254147812971,5
knn,"{""model__n_neighbors"": 3, ""model__weights"": ""uniform"", ""select__k"": 20}",0.5157774007038712,0.013323249867164334,0.04779411764705882,0.18666666666666668,0.07541125541125542,0.5532051282051282,6
knn,"{""model__n_neighbors"": 3, ""model__weights"": ""distance"", ""select__k"": 20}",0.5157774007038712,0.013323249867164334,0.04779411764705882,0.18666666666666668,0.07541125541125542,0.5516512694821518,6
knn,"{""model__n_neighbors"": 7, ""model__weights"": ""uniform"", ""select__k"": 10}",0.514168552036199,0.02240633962947369,0.03602941176470588,0.13999999999999999,0.05714285714285714,0.6547542735042735,8
knn,"{""model__n_neighbors"": 7, ""model__weights"": ""uniform"", ""select__k"": 40}",0.5120726495726495,0.015677668010095985,0.025,0.4,0.047058823529411764,0.5975820135746606,9
knn,"{""model__n_neighbors"": 7, ""model__weights"": ""distance"", ""select__k"": 40}",0.5107905982905983,0.014254515172062566,0.025,0.25,0.043529411764705886,0.5920625942684766,10
knn,"{""model__n_neighbors"": 15, ""model__weights"": ""distance"", ""select__k"": 10}",0.5099358974358974,0.013082045739840537,0.025,0.11666666666666665,0.04105263157894737,0.6895110608345904,11
