threshold,balanced_accuracy,recall_fail,precision_fail,f1_fail
0.48999999999999994,0.6786376274328081,0.6265060240963856,0.14168937329700274,0.2311111111111111
0.4799999999999999,0.6722273710225517,0.6265060240963856,0.13612565445026178,0.22365591397849463
0.49999999999999994,0.6695396972505406,0.5903614457831325,0.14285714285714285,0.2300469483568075
0.5099999999999999,0.6677891051385028,0.5783132530120482,0.14457831325301204,0.23132530120481928
0.4499999999999999,0.6667953866749048,0.6626506024096386,0.125,0.21032504780114722
0.4599999999999999,0.6663268458449181,0.6506024096385542,0.1267605633802817,0.21218074656188604
0.4699999999999999,0.6632530120481928,0.6265060240963856,0.12903225806451613,0.2139917695473251
0.5199999999999999,0.661296467922974,0.5542168674698795,0.14511041009463724,0.23
0.43999999999999995,0.6565389764184946,0.6626506024096386,0.11853448275862069,0.20109689213893966
0.5299999999999999,0.6526670785706931,0.5301204819277109,0.14332247557003258,0.22564102564102564
0.41999999999999993,0.6523890433528987,0.6987951807228916,0.11175337186897881,0.19269102990033224
0.42999999999999994,0.6510246112655751,0.6746987951807228,0.11382113821138211,0.19478260869565217
0.5499999999999999,0.6465606013798785,0.4939759036144578,0.14855072463768115,0.22841225626740946
0.5399999999999999,0.6461744413551642,0.5060240963855421,0.14383561643835616,0.224
0.4099999999999999,0.6438832252085264,0.7108433734939759,0.10649819494584838,0.18524332810047095
0.57,0.6404541241890639,0.4578313253012048,0.15510204081632653,0.23170731707317074
0.3999999999999999,0.6358047574915044,0.7228915662650602,0.10204081632653061,0.17883755588673622
0.5599999999999999,0.6353259190608588,0.4578313253012048,0.14785992217898833,0.2235294117647059
0.37999999999999995,0.62904953145917,0.7469879518072289,0.09779179810725552,0.17294281729428174
0.38999999999999996,0.6276850993718464,0.7228915662650602,0.09884678747940692,0.17391304347826086
0.58,0.6262279888785913,0.42168674698795183,0.15021459227467812,0.22151898734177214
0.36999999999999994,0.6252445680156523,0.7590361445783133,0.09574468085106383,0.1700404858299595
0.59,0.6188806508083616,0.39759036144578314,0.15,0.21782178217821782
0.62,0.6187982700030893,0.37349397590361444,0.1631578947368421,0.2271062271062271
0.35999999999999993,0.61673874987128,0.7710843373493976,0.09235209235209235,0.16494845360824742
0.61,0.6149521161569353,0.37349397590361444,0.15577889447236182,0.2198581560283688
0.6,0.6119606631654824,0.37349397590361444,0.15048543689320387,0.21453287197231835
0.33999999999999997,0.609211203789517,0.8192771084337349,0.08819714656290532,0.1592505854800937
0.3499999999999999,0.6078055812995572,0.7831325301204819,0.08916323731138547,0.16009852216748768
0.6599999999999999,0.6075223972814334,0.3253012048192771,0.17307692307692307,0.22594142259414227
0.6399999999999999,0.6071362372567192,0.3373493975903614,0.16279069767441862,0.2196078431372549
0.6799999999999999,0.6066265060240964,0.3132530120481928,0.18181818181818182,0.23008849557522124
0.6499999999999999,0.6045309442899804,0.3253012048192771,0.1656441717791411,0.21951219512195122
0.63,0.6041447842652662,0.3373493975903614,0.1564245810055866,0.21374045801526717
0.6699999999999999,0.603207702605293,0.3132530120481928,0.17218543046357615,0.2222222222222222
0.69,0.6027391617753064,0.30120481927710846,0.18248175182481752,0.22727272727272727
0.7,0.5992791679538667,0.2891566265060241,0.18461538461538463,0.22535211267605634
0.71,0.5971012254144784,0.27710843373493976,0.19166666666666668,0.22660098522167488
0.32999999999999996,0.5968180413963546,0.8192771084337349,0.085,0.15402038505096263
0.72,0.5953506333024405,0.26506024096385544,0.2018348623853211,0.22916666666666666
0.73,0.5931726907630522,0.25301204819277107,0.21212121212121213,0.23076923076923078
0.31999999999999995,0.587030171969931,0.8313253012048193,0.08233890214797136,0.1498371335504886
0.30999999999999994,0.5832252085264134,0.8433734939759037,0.08120649651972157,0.14814814814814814
0.74,0.5780918545978787,0.21686746987951808,0.20224719101123595,0.20930232558139536
0.7499999999999999,0.5668983626814952,0.1927710843373494,0.18823529411764706,0.19047619047619047
0.3,0.564849140150345,0.8433734939759037,0.07734806629834254,0.1417004048582996
0.7599999999999999,0.5565595716198126,0.1686746987951807,0.17721518987341772,0.1728395061728395
0.7699999999999999,0.5522448769436721,0.1566265060240964,0.17567567567567569,0.16560509554140126
0.7899999999999999,0.5509216352589846,0.14457831325301204,0.1935483870967742,0.16551724137931034
0.29,0.5507465760477809,0.8433734939759037,0.07462686567164178,0.13712047012732614
0.27999999999999997,0.5504016064257028,0.8674698795180723,0.07430340557275542,0.13688212927756654
0.8499999999999999,0.5482751518896097,0.12048192771084337,0.2631578947368421,0.1652892561983471
0.7799999999999999,0.5470754814128308,0.14457831325301204,0.16901408450704225,0.15584415584415584
0.84,0.546565750180208,0.12048192771084337,0.23809523809523808,0.16
0.83,0.5457110493255072,0.12048192771084337,0.22727272727272727,0.15748031496062992
0.7999999999999999,0.5453248893007929,0.13253012048192772,0.18333333333333332,0.15384615384615385
0.82,0.5452836988981568,0.12048192771084337,0.2222222222222222,0.15625
0.8699999999999999,0.5439604572134692,0.10843373493975904,0.2727272727272727,0.15517241379310345
0.8599999999999999,0.5435331067861188,0.10843373493975904,0.2647058823529412,0.15384615384615385
0.8099999999999999,0.5418648954793533,0.12048192771084337,0.18867924528301888,0.14705882352941177
0.26999999999999996,0.5388631448872413,0.8674698795180723,0.07228915662650602,0.1334569045412419
0.25999999999999995,0.5376634744104624,0.891566265060241,0.07191448007774538,0.13309352517985612
0.21999999999999997,0.5293224178766347,0.9518072289156626,0.07028469750889679,0.1309030654515327
0.8899999999999999,0.5293069714756462,0.07228915662650602,0.2727272727272727,0.11428571428571428
0.8799999999999999,0.527170219338894,0.07228915662650602,0.2222222222222222,0.10909090909090909
0.24999999999999994,0.5265523632993513,0.891566265060241,0.07014218009478673,0.13005272407732865
0.20999999999999996,0.5254762640304809,0.9518072289156626,0.06972639011473963,0.1299342105263158
0.22999999999999998,0.5253938832252085,0.927710843373494,0.06980961015412511,0.12984822934232715
0.24,0.5210379981464319,0.9036144578313253,0.06925207756232687,0.12864493996569468
0.19999999999999996,0.5190660076202245,0.9518072289156626,0.06881533101045297,0.12835093419983754
0.9199999999999999,0.5142261353104727,0.03614457831325301,0.25,0.06315789473684211
0.9099999999999999,0.5137987848831223,0.03614457831325301,0.23076923076923078,0.0625
0.19,0.5122284007826177,0.9518072289156626,0.06786941580756013,0.12670408981555734
0.8999999999999999,0.5120893831737205,0.03614457831325301,0.17647058823529413,0.06
0.18,0.5053907939450107,0.9518072289156626,0.06694915254237288,0.1250989707046714
0.09999999999999999,0.5042735042735043,1.0,0.0667739340305712,0.12518853695324283
0.12,0.5033776130161672,0.9879518072289156,0.06666666666666667,0.12490479817212491
0.94,0.5030326433940892,0.012048192771084338,0.125,0.02197802197802198
0.9299999999999999,0.5026052929667387,0.012048192771084338,0.1111111111111111,0.021739130434782608
0.09,0.5025641025641026,1.0,0.06655974338412189,0.12481203007518797
0.15999999999999998,0.502440531356194,0.963855421686747,0.06655574043261231,0.1245136186770428
0.08,0.5017094017094017,1.0,0.06645316253002402,0.12462462462462462
0.10999999999999999,0.5016682113067655,0.9879518072289156,0.06645056726094004,0.12452543659832954
0.07,0.5004273504273504,1.0,0.06629392971246006,0.12434456928838951
0.16999999999999998,0.5002625888168056,0.9518072289156626,0.0662751677852349,0.12392156862745098
0.05,0.5,1.0,0.06624102154828412,0.12425149700598802
0.06,0.5,1.0,0.06624102154828412,0.12425149700598802
0.13,0.49949026876737723,0.9759036144578314,0.0661764705882353,0.12394797245600613
0.14999999999999997,0.49859437751004015,0.963855421686747,0.06606110652353427,0.12364760432766615
0.95,0.49786324786324787,0.0,0.0,0.0
0.13999999999999999,0.49688497580063845,0.963855421686747,0.06584362139917696,0.12326656394453005
